symbol,sid,entry_dt,hold_days,pnl_usd,return_pct,is_win,campaign_result,exit_type,SS,TR,RS,CMP,VQS,ADR,DCR,RMV,ORC,GRP,GRP_LABEL,DDV,PROK,RUNOK,STATE,RUNNER,SQZ,MODE,SS_bucket,TR_bucket,RS_bucket,CMP_bucket,VQS_bucket,RMV_bucket,ADR_bucket,DCR_bucket,ORC_bucket,GRP_bucket,DDV_bucket
IPGP,6,2020-12-04,14,268.48,0.0399,True,Partial Win,T1,86.0,96.0,95.0,85.0,59.0,2.7,95.0,0.0,0.41,2,Strong,58.1,1,0,Near Term,False,Off,Breakout,>85,>85,>90,80–90,40–60,<40,2–4,>75,0.25–0.50,Strong,50–75
IPGP,6,2020-12-04,33,309.12,0.0460,True,Time Exit,TimeExit,86.0,96.0,95.0,85.0,59.0,2.7,95.0,0.0,0.41,2,Strong,58.1,1,0,Near Term,False,Off,Breakout,>85,>85,>90,80–90,40–60,<40,2–4,>75,0.25–0.50,Strong,50–75
KLAC,6,2009-08-28,3,-201.96,-0.0308,False,Full Stop,Stop,88.0,93.0,94.0,91.0,67.0,2.8,88.0,3.0,0.34,-1,Weakening,117.8,1,0,Near Term,False,Off,Breakout,>85,>85,>90,>90,60–75,<40,2–4,>75,0.25–0.50,Weakening,100–200
KLAC,6,2009-08-28,3,-201.96,-0.0308,False,Full Stop,Stop,88.0,93.0,94.0,91.0,67.0,2.8,88.0,3.0,0.34,-1,Weakening,117.8,1,0,Near Term,False,Off,Breakout,>85,>85,>90,>90,60–75,<40,2–4,>75,0.25–0.50,Weakening,100–200
KNSA,6,2026-02-12,1,141.44,0.0302,True,Partial Win,T1,85.0,96.0,99.0,70.0,68.0,3.8,100.0,9.0,0.29,2,Strong,26.4,1,0,Ready Now,False,Off,Breakout,>85,>85,>90,65–80,60–75,<40,2–4,>75,0.25–0.50,Strong,20–50
KNSA,6,2026-02-12,11,407.68,0.0870,True,Partial Win,T2,85.0,96.0,99.0,70.0,68.0,3.8,100.0,9.0,0.29,2,Strong,26.4,1,0,Ready Now,False,Off,Breakout,>85,>85,>90,65–80,60–75,<40,2–4,>75,0.25–0.50,Strong,20–50
LGND,6,2025-10-24,13,462.08,0.0768,True,Partial Win,T1,85.0,99.0,99.0,79.0,55.0,2.9,69.0,0.0,0.32,2,Strong,25.4,1,0,Near Term,False,Off,Breakout,>85,>85,>90,65–80,40–60,<40,2–4,60–75,0.25–0.50,Strong,20–50
LGND,6,2025-10-24,31,356.16,0.0592,True,Time Exit,TimeExit,85.0,99.0,99.0,79.0,55.0,2.9,69.0,0.0,0.32,2,Strong,25.4,1,0,Near Term,False,Off,Breakout,>85,>85,>90,65–80,40–60,<40,2–4,60–75,0.25–0.50,Strong,20–50
MEOH,6,2016-11-28,2,252.58,0.0430,True,Partial Win,T1,80.0,96.0,92.0,77.0,47.0,3.1,47.0,0.0,0.38,2,Strong,23.5,1,0,Near Term,False,Off,Breakout,75–85,>85,>90,65–80,40–60,<40,2–4,45–60,0.25–0.50,Strong,20–50
MEOH,6,2016-11-28,14,808.84,0.1376,True,Partial Win,T2,80.0,96.0,92.0,77.0,47.0,3.1,47.0,0.0,0.38,2,Strong,23.5,1,0,Near Term,False,Off,Breakout,75–85,>85,>90,65–80,40–60,<40,2–4,45–60,0.25–0.50,Strong,20–50
