symbol,total_trades,win_trades,win_rate,avg_return,total_return
AXSM,22,11,0.5,0.05944989358336907,1.3078976588341196
CZR,23,10,0.43478260869565216,0.04802547587752915,1.1045859451831705
TPR,40,24,0.6,0.026055788614160812,1.0422315445664325
MARA,13,7,0.5384615384615384,0.0792738130507773,1.0305595696601049
NET,17,11,0.6470588235294118,0.05510106809296832,0.9367181575804614
VKTX,6,5,0.8333333333333334,0.1406765198845606,0.8440591193073635
GGAL,11,8,0.7272727272727273,0.07346120870973862,0.8080732958071248
CDE,37,13,0.35135135135135137,0.021749222810945622,0.804721244004988
LNG,48,22,0.4583333333333333,0.016441817037061417,0.7892072177789481
CDNS,41,24,0.5853658536585366,0.018572908841283414,0.76148926249262
GAP,50,27,0.54,0.01518186235653534,0.759093117826767
CRK,25,14,0.56,0.029856237224616687,0.7464059306154172
AMD,52,25,0.4807692307692308,0.01427986846685756,0.7425531602765931
AXON,27,13,0.48148148148148145,0.027257765284794913,0.7359596626894627
ZG,30,14,0.4666666666666667,0.02276492489592357,0.6829477468777071
BE,21,9,0.42857142857142855,0.03097838128701604,0.6505460070273368
ZS,18,10,0.5555555555555556,0.03546038843956864,0.6382869919122355
WIX,23,13,0.5652173913043478,0.02749707212286556,0.6324326588259078
RRC,64,27,0.421875,0.009655942081834118,0.6179802932373836
PLTR,18,9,0.5,0.033260832629315784,0.5986949873276841
BKNG,14,7,0.5,0.04231567510725509,0.5924194515015713
FTAI,6,6,1.0,0.09868110939155329,0.5920866563493198
ATI,59,26,0.4406779661016949,0.009711975003772131,0.5730065252225558
CIEN,48,21,0.4375,0.011815685911513054,0.5671529237526266
ADPT,12,7,0.5833333333333334,0.04697539757169564,0.5637047708603476
CLS,24,10,0.4166666666666667,0.022888068160534483,0.5493136358528276
COHR,26,14,0.5384615384615384,0.021115479181403843,0.5490024587164999
RH,31,10,0.3225806451612903,0.01745968549357311,0.5412502503007663
CAR,46,19,0.41304347826086957,0.01171500147535775,0.5388900678664565
RL,23,13,0.5652173913043478,0.02337814338847743,0.5376972979349809
CROX,32,13,0.40625,0.016443559397812918,0.5261939007300134
RCL,44,18,0.4090909090909091,0.01190266695738884,0.5237173461251089
CELH,17,8,0.47058823529411764,0.030328418796491455,0.5155831195403547
